video_id,frames_path,label,split
original__000,faces_ffpp/original__000.npz,0,train
original__001,faces_ffpp/original__001.npz,0,train
original__002,faces_ffpp/original__002.npz,0,train
original__003,faces_ffpp/original__003.npz,0,train
original__004,faces_ffpp/original__004.npz,0,train
original__005,faces_ffpp/original__005.npz,0,train
original__006,faces_ffpp/original__006.npz,0,train
original__007,faces_ffpp/original__007.npz,0,train
original__008,faces_ffpp/original__008.npz,0,train
original__009,faces_ffpp/original__009.npz,0,train
original__011,faces_ffpp/original__011.npz,0,train
original__012,faces_ffpp/original__012.npz,0,train
original__013,faces_ffpp/original__013.npz,0,train
original__014,faces_ffpp/original__014.npz,0,train
original__015,faces_ffpp/original__015.npz,0,train
original__016,faces_ffpp/original__016.npz,0,train
original__017,faces_ffpp/original__017.npz,0,train
original__018,faces_ffpp/original__018.npz,0,train
original__019,faces_ffpp/original__019.npz,0,train
original__020,faces_ffpp/original__020.npz,0,train
original__021,faces_ffpp/original__021.npz,0,train
original__022,faces_ffpp/original__022.npz,0,train
original__024,faces_ffpp/original__024.npz,0,train
original__026,faces_ffpp/original__026.npz,0,train
original__027,faces_ffpp/original__027.npz,0,train
original__028,faces_ffpp/original__028.npz,0,train
original__029,faces_ffpp/original__029.npz,0,train
original__031,faces_ffpp/original__031.npz,0,train
original__032,faces_ffpp/original__032.npz,0,train
original__033,faces_ffpp/original__033.npz,0,train
original__034,faces_ffpp/original__034.npz,0,train
original__035,faces_ffpp/original__035.npz,0,train
original__036,faces_ffpp/original__036.npz,0,train
original__037,faces_ffpp/original__037.npz,0,train
original__038,faces_ffpp/original__038.npz,0,train
original__040,faces_ffpp/original__040.npz,0,train
original__041,faces_ffpp/original__041.npz,0,train
original__042,faces_ffpp/original__042.npz,0,train
original__043,faces_ffpp/original__043.npz,0,train
original__045,faces_ffpp/original__045.npz,0,train
original__046,faces_ffpp/original__046.npz,0,train
original__047,faces_ffpp/original__047.npz,0,train
original__048,faces_ffpp/original__048.npz,0,train
original__049,faces_ffpp/original__049.npz,0,train
original__050,faces_ffpp/original__050.npz,0,train
original__051,faces_ffpp/original__051.npz,0,train
original__052,faces_ffpp/original__052.npz,0,train
original__053,faces_ffpp/original__053.npz,0,train
original__056,faces_ffpp/original__056.npz,0,train
original__057,faces_ffpp/original__057.npz,0,train
original__058,faces_ffpp/original__058.npz,0,train
original__061,faces_ffpp/original__061.npz,0,train
original__062,faces_ffpp/original__062.npz,0,train
original__064,faces_ffpp/original__064.npz,0,train
original__065,faces_ffpp/original__065.npz,0,train
original__068,faces_ffpp/original__068.npz,0,train
original__069,faces_ffpp/original__069.npz,0,train
original__071,faces_ffpp/original__071.npz,0,train
original__073,faces_ffpp/original__073.npz,0,train
original__074,faces_ffpp/original__074.npz,0,train
original__075,faces_ffpp/original__075.npz,0,train
original__077,faces_ffpp/original__077.npz,0,train
original__079,faces_ffpp/original__079.npz,0,train
original__080,faces_ffpp/original__080.npz,0,train
