video_id,frames_path,label
original__000,faces_ffpp/original__000.npz,0
original__001,faces_ffpp/original__001.npz,0
original__002,faces_ffpp/original__002.npz,0
original__003,faces_ffpp/original__003.npz,0
original__004,faces_ffpp/original__004.npz,0
original__005,faces_ffpp/original__005.npz,0
original__006,faces_ffpp/original__006.npz,0
original__007,faces_ffpp/original__007.npz,0
original__008,faces_ffpp/original__008.npz,0
original__009,faces_ffpp/original__009.npz,0
original__011,faces_ffpp/original__011.npz,0
original__012,faces_ffpp/original__012.npz,0
original__013,faces_ffpp/original__013.npz,0
original__014,faces_ffpp/original__014.npz,0
original__015,faces_ffpp/original__015.npz,0
original__016,faces_ffpp/original__016.npz,0
original__017,faces_ffpp/original__017.npz,0
original__018,faces_ffpp/original__018.npz,0
original__019,faces_ffpp/original__019.npz,0
original__020,faces_ffpp/original__020.npz,0
original__021,faces_ffpp/original__021.npz,0
original__022,faces_ffpp/original__022.npz,0
original__024,faces_ffpp/original__024.npz,0
original__026,faces_ffpp/original__026.npz,0
original__027,faces_ffpp/original__027.npz,0
original__028,faces_ffpp/original__028.npz,0
original__029,faces_ffpp/original__029.npz,0
original__031,faces_ffpp/original__031.npz,0
original__032,faces_ffpp/original__032.npz,0
original__033,faces_ffpp/original__033.npz,0
original__034,faces_ffpp/original__034.npz,0
original__035,faces_ffpp/original__035.npz,0
original__036,faces_ffpp/original__036.npz,0
original__037,faces_ffpp/original__037.npz,0
original__038,faces_ffpp/original__038.npz,0
original__040,faces_ffpp/original__040.npz,0
original__041,faces_ffpp/original__041.npz,0
original__042,faces_ffpp/original__042.npz,0
original__043,faces_ffpp/original__043.npz,0
original__045,faces_ffpp/original__045.npz,0
original__046,faces_ffpp/original__046.npz,0
original__047,faces_ffpp/original__047.npz,0
original__048,faces_ffpp/original__048.npz,0
original__049,faces_ffpp/original__049.npz,0
original__050,faces_ffpp/original__050.npz,0
original__051,faces_ffpp/original__051.npz,0
original__052,faces_ffpp/original__052.npz,0
original__053,faces_ffpp/original__053.npz,0
original__056,faces_ffpp/original__056.npz,0
original__057,faces_ffpp/original__057.npz,0
original__058,faces_ffpp/original__058.npz,0
original__061,faces_ffpp/original__061.npz,0
original__062,faces_ffpp/original__062.npz,0
original__064,faces_ffpp/original__064.npz,0
original__065,faces_ffpp/original__065.npz,0
original__068,faces_ffpp/original__068.npz,0
original__069,faces_ffpp/original__069.npz,0
original__071,faces_ffpp/original__071.npz,0
original__073,faces_ffpp/original__073.npz,0
original__074,faces_ffpp/original__074.npz,0
original__075,faces_ffpp/original__075.npz,0
original__077,faces_ffpp/original__077.npz,0
original__079,faces_ffpp/original__079.npz,0
original__080,faces_ffpp/original__080.npz,0
original__081,faces_ffpp/original__081.npz,0
original__082,faces_ffpp/original__082.npz,0
original__083,faces_ffpp/original__083.npz,0
original__084,faces_ffpp/original__084.npz,0
original__085,faces_ffpp/original__085.npz,0
original__087,faces_ffpp/original__087.npz,0
original__089,faces_ffpp/original__089.npz,0
original__090,faces_ffpp/original__090.npz,0
original__091,faces_ffpp/original__091.npz,0
original__092,faces_ffpp/original__092.npz,0
original__093,faces_ffpp/original__093.npz,0
original__094,faces_ffpp/original__094.npz,0
original__095,faces_ffpp/original__095.npz,0
original__097,faces_ffpp/original__097.npz,0
original__098,faces_ffpp/original__098.npz,0
original__099,faces_ffpp/original__099.npz,0
original__100,faces_ffpp/original__100.npz,0
original__102,faces_ffpp/original__102.npz,0
original__103,faces_ffpp/original__103.npz,0
original__104,faces_ffpp/original__104.npz,0
original__105,faces_ffpp/original__105.npz,0
original__106,faces_ffpp/original__106.npz,0
original__108,faces_ffpp/original__108.npz,0
original__109,faces_ffpp/original__109.npz,0
original__111,faces_ffpp/original__111.npz,0
original__112,faces_ffpp/original__112.npz,0
original__113,faces_ffpp/original__113.npz,0
original__114,faces_ffpp/original__114.npz,0
original__115,faces_ffpp/original__115.npz,0
original__116,faces_ffpp/original__116.npz,0
original__117,faces_ffpp/original__117.npz,0
original__118,faces_ffpp/original__118.npz,0
original__119,faces_ffpp/original__119.npz,0
